"Feature","F-statistic","p-value","Significance"
"prog_z_8F",112.705463984605,3.55343412674942e-37,"***"
"reread_z_8F",134.086855324102,2.94251093729251e-42,"***"
"lookback_z_8F",45.947068689474,4.04728980877622e-18,"***"
