"uniform_id","prog_dur","reread_dur","lookback_dur","prog_z","reread_z","lookback_z","skip","reg.in","refix","rate","comprehension_score","Cluster_H3F"
"du_40",290.282894736842,653.622754491018,528.875,0.0779309651959657,0.103324121615616,0.650731471797211,0.27710843373494,0.216666666666667,0.23,215.166666666667,0.257389064102234,2
"du_41",224.563775510204,473.930434782609,273.916666666667,-1.13861826534552,-1.1730198796935,-0.696136084408496,0.14027149321267,0.234210526315789,0.205263157894737,240.428571428571,-1.01619409536881,1
"du_42",266.165662650602,508.959731543624,405.181818181818,-0.368511416907856,-0.924208840559771,-0.00270209649079438,0.179874213836478,0.26840490797546,0.208588957055215,222.333333333333,-0.425477847878312,1
"du_43",233.794489092997,568.992805755396,237.1,-0.967745349843281,-0.497797437586751,-0.890627369367372,0.373906705539359,0.336437718277066,0.131548311990687,284.6,-0.803625582023549,1
"du_44",297.733156028369,636.067193675889,607.2,0.215845315665016,-0.0213719965733361,1.06449869391774,0.176029962546816,0.181818181818182,0.225454545454545,193.1,0.399276135469326,2
"du_45",219.738980121003,525.580448065173,224.666666666667,-1.22793171305031,-0.806152866525031,-0.956308898828359,0.168279970215934,0.224709042076992,0.203222918531782,209.9,-1.01991121482614,1
"du_46",308.08963911525,614.284210526316,313.666666666667,0.407557737844813,-0.176095247509668,-0.486148889013783,0.262608695652174,0.133254716981132,0.129716981132075,241.25,-0.0356501458191102,2
"du_47",219.495192307692,428,243,-1.23244455315207,-1.49926106244093,-0.859459458604383,0.37705918242831,0.121449559255632,0.117531831537708,407.666666666667,-1.20059397757442,1
"du_48",247.10662358643,579.850746268657,235.8,-0.721319847410701,-0.420674123339596,-0.897494875128708,0.335176991150442,0.24459234608985,0.19134775374376,292.714285714286,-0.683978638504771,1
"du_49",243.588397790055,566.354545454545,283.666666666667,-0.786446935780378,-0.516536845672452,-0.644629791198472,0.214525139664804,0.108108108108108,0.17923186344239,267.142857142857,-0.662928765373428,1
"du_5",220.142857142857,478.920634920635,238.8,-1.22045540652106,-1.13757478097232,-0.881646784910239,0.29324055666004,0.343178621659634,0.177215189873418,293.875,-1.09394863237319,1
"du_50",239.90450928382,558.802631578947,291.333333333333,-0.854640663578315,-0.570177646732641,-0.604129116195718,0.256324900133156,0.21307072515667,0.186213070725157,235.909090909091,-0.694148294309834,1
