"uniform_id","lang","skip","reg.in","refix","rate","acc","nfix_total","skip_z","regin_z","refix_z","rate_z"
"du_10","du",0.309791332263242,0.281395348837209,0.174418604651163,262,0.708333333333333,1344,1.16207317702186,0.705826300868183,-0.760094089926996,0.737378086457099
"du_11","du",0.2,0.233552631578947,0.290570175438596,201.625,0.625,1677,-0.40967827583519,0.103660572063846,0.563505308361428,-0.230403011174871
"du_12","du",0.290625,0.354625550660793,0.136563876651982,226.8,0.666666666666667,851,0.887691675680172,1.62752808493589,-1.19146574389956,0.17313966597436
"du_13","du",0.174111212397448,0.179911699779249,0.327814569536424,196.375,0.583333333333333,1467,-0.780297146088596,-0.571483580316648,0.987921932977877,-0.314557889229825
"du_14","du",0.330598851517637,0.26593137254902,0.0477941176470588,197.333333333333,0.708333333333333,1537,1.45994959353197,0.511191106936286,-2.2030370795998,-0.299196284505508
"du_18","du",0.293393057110862,0.26148969889065,0.117274167987322,216.428571428571,0.791666666666667,981,0.927318645276984,0.455286597140881,-1.41128065134002,0.00689084565355307
"du_19","du",0.201226993865031,0.324116743471582,0.221198156682028,179.5,0.75,1122,-0.392112869256602,1.24353321238568,-0.227020051405654,-0.58505571154932
"du_20","du",0.292759706190976,0.200296735905045,0.261127596439169,265.857142857143,0.833333333333333,1083,0.918251716148981,-0.314910148897003,0.227993876329055,0.799206160130126
"du_21","du",0.349659863945578,0.205020920502092,0.102510460251046,239.8,0.625,702,1.73282335650545,-0.255449854333652,-1.57951974224309,0.381523173539008
"du_22","du",0.32597623089983,0.214105793450882,0.188916876574307,225.75,0.791666666666667,1166,1.39377305188454,-0.141104360310569,-0.594879759517164,0.156308690363369
"du_23","du",0.157291666666667,0.378244746600742,0.273176761433869,108.571428571429,0.625,1814,-1.02108250585967,1.92480782053652,0.365299531592635,-1.72200528853666
"du_24","du",0.359908883826879,0.112099644128114,0.151245551601424,327.166666666667,0.75,750,1.87954634052182,-1.42499061864932,-1.02416145350379,1.78196720771065
"du_25","du",0.204030226700252,0.204113924050633,0.251582278481013,115.5,0.583333333333333,1095,-0.35198233080124,-0.266865639441918,0.119220684367587,-1.61094374879066
"du_27","du",0.326824254881809,0.351145038167939,0.140458015267176,269.142857142857,0.666666666666667,887,1.4059131990005,1.5837210969139,-1.14709028265544,0.851874519184928
"du_28","du",0.249061326658323,0.42,0.17,184.166666666667,0.75,1016,0.292674176446054,2.45035452932493,-0.810446077574727,-0.510251375500472
"du_29","du",0.280834914611006,0.340369393139842,0.215039577836412,187.625,0.625,1223,0.747538708988301,1.44809493448977,-0.297199827702327,-0.454816019321415
"du_31","du",0.393241167434716,0.210126582278481,0.0658227848101266,257,0.833333333333333,617,2.35672485823984,-0.191188150132961,-1.99759230733194,0.657230583547619
"du_32","du",0.306071871127633,0.244642857142857,0.191071428571429,245.333333333333,0.875,904,1.10882609163517,0.24324615879477,-0.570327670314774,0.470219743425499
"du_33","du",0.24633431085044,0.413748378728923,0.197146562905318,141.625,0.75,1663,0.253634746195518,2.37166936479748,-0.50109878176558,-1.19217304608863
"du_34","du",0.234290843806104,0.134818288393904,0.164126611957796,253.625,0.791666666666667,1139,0.0812228040671125,-1.13904555186084,-0.87737597637741,0.60313101908372
"du_35","du",0.346952010376135,0.285998013902681,0.0933465739821251,335.636363636364,0.916666666666667,1328,1.69405824914987,0.763757106692419,-1.68394634852399,1.91773222021489
"du_36","du",0.364978902953586,0.305647840531561,0.106312292358804,242.857142857143,0.791666666666667,1018,1.95212775258911,1.01107692569403,-1.53619615517399,0.430527646746519
"du_38","du",0.336623889437315,0.46577380952381,0.099702380952381,160,0.916666666666667,1178,1.54620286971107,3.02648023772198,-1.61151906902672,-0.897630972896291
"du_4","du",0.305241521068859,0.201183431952663,0.285502958579882,273.285714285714,0.791666666666667,1042,1.09693896098146,-0.303749872007635,0.505762092839477,0.918282450167068
"du_40","du",0.27710843373494,0.216666666666667,0.23,215.166666666667,0.666666666666667,958,0.694191130356526,-0.108872284568833,-0.126719087410791,-0.0133368574616966
