"uniform_id","prog_z","lookback_z","reread_z","G_group"
"du_10",-0.788949386507383,-0.101098993335429,-0.403331392801016,"G1"
"du_11",-0.541788791482265,0.00584626732401612,0.155746529792179,"G1"
"du_12",-1.10012882628844,1.53360216438441,-0.168548207988015,"G3"
"du_13",0.372187005586655,-0.0441632618098191,-0.507034799006705,"G2"
"du_14",-0.67785265098464,0.396941915937564,1.00203719023878,"G3"
"du_18",-0.162738806911413,-0.194426635733079,-0.0478822193112184,"G1"
"du_19",0.128867516354936,1.05182022174296,0.00944041181960222,"G3"
"du_20",-0.637355754524362,-0.229057647691956,-0.499175860069536,"G1"
"du_21",0.12326643212693,-0.123403712902163,0.314619691412204,"G2"
"du_22",0.684715482397885,-0.435523045260341,0.0809542481571738,"G2"
"du_23",1.02753465463703,2.07595902963868,2.34247890117965,"G3"
"du_24",-0.854204519806043,-1.11170822791501,-0.515144553090236,"G1"
"du_25",3.69568618191671,0.865718362320368,2.73604250883559,"G3"
"du_27",-0.252600345801267,-0.117768836380041,-0.44520625994279,"G1"
"du_28",-0.0109083328036808,0.356521281794499,0.364550738124507,"G3"
"du_29",0.832093171470224,0.930787769778209,0.859013650863731,"G3"
"du_31",-0.551276928176802,-0.487909787926947,-0.174107190791256,"G1"
"du_32",-0.654328517143465,-0.0934684313783887,-0.536194867441045,"G1"
"du_33",-0.540853761283191,1.45013555590048,1.50965173621028,"G3"
"du_34",-0.473594222773541,-0.946917437958155,-0.0828510005872656,"G1"
"du_35",-1.12449311465592,-0.988508193240486,-0.864151564927371,"G1"
"du_36",-0.796617748545986,-0.00471912615496311,-0.0537134602204884,"G1"
"du_38",0.759375629941393,1.62604935732548,1.92823317100123,"G3"
"du_4",-0.265401309247816,-0.0691680263767364,-0.606319868790244,"G1"
"du_40",0.0779309651959657,0.650731471797211,0.103324121615616,"G3"
"du_41",-1.13861826534552,-0.696136084408496,-1.1730198796935,"G1"
"du_42",-0.368511416907856,-0.00270209649079438,-0.924208840559771,"G1"
"du_43",-0.967745349843281,-0.890627369367372,-0.497797437586751,"G1"
"du_44",0.215845315665016,1.06449869391774,-0.0213719965733361,"G3"
"du_45",-1.22793171305031,-0.956308898828359,-0.806152866525031,"G1"
"du_46",0.407557737844813,-0.486148889013783,-0.176095247509668,"G2"
"du_47",-1.23244455315207,-0.859459458604383,-1.49926106244093,"G1"
"du_48",-0.721319847410701,-0.897494875128708,-0.420674123339596,"G1"
"du_49",-0.786446935780378,-0.644629791198472,-0.516536845672452,"G1"
"du_5",-1.22045540652106,-0.881646784910239,-1.13757478097232,"G1"
