"","GG1","GG2","GG3"
"C1_3+rate",1.98092914460914,0.325155293957158,0.0883667482155415
"C2_3+rate",0.000715026174118116,1.81681598883179,1.80674696519284
"C3_3+rate",0.00453955581864407,1.76379827166726,1.84960472656294
